stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w,Series
most_wickets,Most Wickets (career),12,CH Gayle (WI),2002-2013,17.0,14.0,,380,,22.35,,29.88,,,,,,508.0,84.4,2.0,17.0,3/3,4.48,0.0,0.0,,,,,,,
most_wickets,Most Wickets (career),13,SR Watson (AUS),2002-2013,17.0,15.0,,396,,23.29,,33.88,,,,,,576.0,96.0,3.0,17.0,3/16,4.12,0.0,0.0,,,,,,,
most_wickets,Most Wickets (career),14,SE Bond (NZ),2002-2009,10.0,10.0,,472,,27.76,,32.11,,,,,,546.0,91.0,5.0,17.0,4/21,5.18,1.0,0.0,,,,,,,
most_wickets,Most Wickets (career),15,MF Maharoof (SL),2004-2006,8.0,8.0,,247,,15.43,,20.62,,,,,,330.0,55.0,4.0,16.0,6/14,4.49,0.0,1.0,,,,,,,
most_wickets,Most Wickets (career),16,M Ntini (SA),2002-2006,8.0,8.0,,248,,15.5,,21.37,,,,,,342.0,57.0,7.0,16.0,5/21,4.35,0.0,1.0,,,,,,,
most_wickets,Most Wickets (career),17,SM Pollock (SA),2000-2006,11.0,11.0,,321,,20.06,,33.06,,,,,,529.0,88.1,8.0,16.0,3/27,3.64,0.0,0.0,,,,,,,
most_wickets,Most Wickets (career),18,SCJ Broad (ENG),2009-2013,8.0,8.0,,358,,22.37,,24.0,,,,,,384.0,64.0,3.0,16.0,4/39,5.59,1.0,0.0,,,,,,,
most_wickets,Most Wickets (career),19,JDP Oram (NZ),2002-2006,8.0,8.0,,270,,18.0,,25.86,,,,,,388.0,64.4,7.0,15.0,5/36,4.17,0.0,1.0,,,,,,,
most_wickets,Most Wickets (career),20,Z Khan (IND),2000-2002,9.0,9.0,,368,,24.53,,32.0,,,,,,480.0,80.0,7.0,15.0,4/45,4.6,1.0,0.0,,,,,,,
best_bowling_innings,Best Bowling Figures (innings),1,MF Maharoof,,,1.0,,14,,,,,,,,,,,9.0,2.0,6.0,,1.55,,,Sri Lanka,v West Indies,Brabourne,14 Oct 2006,2428.0,,
best_bowling_innings,Best Bowling Figures (innings),2,JR Hazlewood,,,1.0,,52,,,,,,,,,,,9.0,0.0,6.0,,5.77,,,Australia,v New Zealand,Birmingham,2 Jun 2017,3876.0,,
best_bowling_innings,Best Bowling Figures (innings),3,Shahid Afridi,,,1.0,,11,,,,,,,,,,,6.0,1.0,5.0,,1.83,,,Pakistan,v Kenya,Birmingham,14 Sep 2004,2174.0,,
best_bowling_innings,Best Bowling Figures (innings),4,M Ntini,,,2.0,,21,,,,,,,,,,,6.0,2.0,5.0,,3.5,,,South Africa,v Pakistan,Mohali,27 Oct 2006,2438.0,,
best_bowling_innings,Best Bowling Figures (innings),5,M Dillon,,,2.0,,29,,,,,,,,,,,10.0,4.0,5.0,,2.9,,,West Indies,v Bangladesh,Southampton,15 Sep 2004,2175.0,,
best_bowling_innings,Best Bowling Figures (innings),6,JH Kallis,,,1.0,,30,,,,,,,,,,,7.3,0.0,5.0,,4.0,,,South Africa,v West Indies,Dhaka,1 Nov 1998,1364.0,,
best_bowling_innings,Best Bowling Figures (innings),7,JDP Oram,,,2.0,,36,,,,,,,,,,,9.4,1.0,5.0,,3.72,,,New Zealand,v U.S.A.,The Oval,10 Sep 2004,2169.0,,
best_bowling_innings,Best Bowling Figures (innings),8,RA Jadeja,,,1.0,,36,,,,,,,,,,,10.0,2.0,5.0,,3.6,,,India,v West Indies,The Oval,11 Jun 2013,3368.0,,
best_bowling_innings,Best Bowling Figures (innings),9,GD McGrath,,,2.0,,37,,,,,,,,,,,7.0,1.0,5.0,,5.28,,,Australia,v New Zealand,Colombo (SSC),15 Sep 2002,1877.0,,
best_bowling_innings,Best Bowling Figures (innings),10,CV Varun,,,2.0,,42,,,,,,,,,,,10.0,0.0,5.0,,4.2,,,India,v New Zealand,Dubai (DICS),2 Mar 2025,4852.0,,
best_bowling_innings,Best Bowling Figures (innings),11,MJ Henry,,,1.0,,42,,,,,,,,,,,8.0,0.0,5.0,,5.25,,,New Zealand,v India,Dubai (DICS),2 Mar 2025,4852.0,,
best_bowling_innings,Best Bowling Figures (innings),12,SB O'Connor,,,1.0,,46,,,,,,,,,,,9.2,0.0,5.0,,4.92,,,New Zealand,v Pakistan,Nairobi (Gym),11 Oct 2000,1637.0,,
best_bowling_innings,Best Bowling Figures (innings),13,Mohammed Shami,,,1.0,,53,,,,,,,,,,,10.0,0.0,5.0,,5.3,,,India,v Bangladesh,Dubai (DICS),20 Feb 2025,4844.0,,
best_bowling_innings,Best Bowling Figures (innings),14,WD Parnell,,,1.0,,57,,,,,,,,,,,8.0,0.0,5.0,,7.12,,,South Africa,v New Zealand,Centurion,24 Sep 2009,2895.0,,
best_bowling_innings,Best Bowling Figures (innings),15,Azmatullah Omarzai,,,2.0,,58,,,,,,,,,,,9.5,0.0,5.0,,5.89,,,Afghanistan,v England,Lahore,26 Feb 2025,4849.0,,
best_bowling_innings,Best Bowling Figures (innings),16,MS Kasprowicz,,,1.0,,14,,,,,,,,,,,7.0,1.0,4.0,,2.0,,,Australia,v U.S.A.,Southampton,13 Sep 2004,2172.0,,
best_bowling_innings,Best Bowling Figures (innings),17,M Muralidaran,,,2.0,,15,,,,,,,,,,,5.3,2.0,4.0,,2.72,,,Sri Lanka,v Netherlands,Colombo (RPS),16 Sep 2002,1878.0,,
best_bowling_innings,Best Bowling Figures (innings),18,JN Gillespie,,,1.0,,15,,,,,,,,,,,6.0,1.0,4.0,,2.5,,,Australia,v U.S.A.,Southampton,13 Sep 2004,2172.0,,
best_bowling_innings,Best Bowling Figures (innings),19,R McLaren,,,2.0,,19,,,,,,,,,,,8.0,3.0,4.0,,2.37,,,South Africa,v Pakistan,Birmingham,10 Jun 2013,3367.0,,
best_bowling_innings,Best Bowling Figures (innings),20,SE Bond,,,2.0,,21,,,,,,,,,,,5.0,0.0,4.0,,4.2,,,New Zealand,v Bangladesh,Colombo (SSC),23 Sep 2002,1885.0,,
best_economy_career,Best Economy Rate (career),1,PA de Silva (SL),1998-2002,7.0,,,16,,16.00,,60,,,,,,60.0,10.0,2.0,1.0,1/16,1.6,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),2,WW Hinds (WI),2000-2006,11.0,,,51,,10.20,,24,,,,,,120.0,20.0,3.0,5.0,3/24,2.55,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),3,SK Warne (AUS),2002-2002,3.0,,,60,,20.00,,40.6,,,,,,122.0,20.2,4.0,3.0,1/2,2.95,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),4,JL Ontong (SA),2002-2002,1.0,,,30,,10.00,,20,,,,,,60.0,10.0,1.0,3.0,3/30,3.0,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),5,RR Powar (IND),2006-2006,1.0,,,24,,8.00,,16,,,,,,48.0,8.0,1.0,3.0,3/24,3.0,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),6,JN Snape (ENG),2002-2002,1.0,,,18,,18.00,,36,,,,,,36.0,6.0,0.0,1.0,1/18,3.0,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),7,Shoaib Akhtar (PAK),2002-2004,5.0,,,114,,16.28,,32.4,,,,,,227.0,37.5,7.0,7.0,4/36,3.01,1.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),8,PT Collins (WI),2002-2002,2.0,,,56,,18.66,,36.3,,,,,,109.0,18.1,4.0,3.0,3/18,3.08,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),9,XJ Doherty (AUS),2013-2013,2.0,,,34,,34.00,,66,,,,,,66.0,11.0,1.0,1.0,1/30,3.09,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),10,S Lee (AUS),2000-2000,1.0,,,31,,15.50,,30,,,,,,60.0,10.0,0.0,2.0,2/31,3.1,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),11,MH Yardy (ENG),2006-2006,3.0,,,60,,-,,-,,,,,,114.0,19.0,2.0,0.0,-,3.15,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),12,HDPK Dharmasena (SL),1998-2002,6.0,,,115,,19.16,,36,,,,,,216.0,36.0,4.0,6.0,2/14,3.19,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),13,RO Hinds (WI),2004-2004,3.0,,,36,,-,,-,,,,,,66.0,11.0,0.0,0.0,-,3.27,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),14,P Kumar (IND),2009-2009,2.0,,,56,,18.66,,34,,,,,,102.0,17.0,3.0,3.0,3/22,3.29,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),15,NO Miller (WI),2009-2009,3.0,,,44,,22.00,,39.5,,,,,,79.0,13.1,1.0,2.0,2/24,3.34,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),16,JWM Dalrymple (ENG),2006-2006,3.0,,,57,,28.50,,51,,,,,,102.0,17.0,0.0,2.0,2/5,3.35,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),17,RD King (WI),1998-1998,2.0,,,68,,-,,-,,,,,,120.0,20.0,2.0,0.0,-,3.4,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),18,Abdur Razzak (BAN),2006-2006,3.0,,,91,,22.75,,39.5,,,,,,158.0,26.2,2.0,4.0,2/12,3.45,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),19,J Lewis (ENG),2006-2006,1.0,,,35,,35.00,,60,,,,,,60.0,10.0,1.0,1.0,1/35,3.5,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),20,MW Short (AUS),2025-2025,2.0,,,28,,-,,-,,,,,,48.0,8.0,0.0,0.0,-,3.5,0.0,0.0,,,,,,0.0,
best_economy_innings,Best Economy Rate (innings),1,ST Jayasuriya,,,,,3,,,,,,,,,,,4.0,2.0,0.0,,0.75,,,Sri Lanka,v Zimbabwe,Ahmedabad,10 Oct 2006,2425.0,,
best_economy_innings,Best Economy Rate (innings),2,M Muralidaran,,,,,9,,,,,,,,,,,10.0,4.0,0.0,,0.9,,,Sri Lanka,v West Indies,Nairobi (Gym),4 Oct 2000,1631.0,,
best_economy_innings,Best Economy Rate (innings),3,CH Gayle,,,,,3,,,,,,,,,,,3.1,1.0,3.0,,0.94,,,West Indies,v Zimbabwe,Ahmedabad,8 Oct 2006,2424.0,,
best_economy_innings,Best Economy Rate (innings),4,WPUJC Vaas,,,,,6,,,,,,,,,,,6.0,2.0,2.0,,1.0,,,Sri Lanka,v West Indies,Brabourne,14 Oct 2006,2428.0,,
best_economy_innings,Best Economy Rate (innings),5,JWM Dalrymple,,,,,5,,,,,,,,,,,4.0,0.0,2.0,,1.25,,,England,v India,Jaipur,15 Oct 2006,2429.0,,
best_economy_innings,Best Economy Rate (innings),6,DM Benkenstein,,,,,5,,,,,,,,,,,3.5,1.0,3.0,,1.3,,,South Africa,v Kenya,Colombo (RPS),20 Sep 2002,1882.0,,
best_economy_innings,Best Economy Rate (innings),7,DL Vettori,,,,,14,,,,,,,,,,,10.0,3.0,3.0,,1.4,,,New Zealand,v U.S.A.,The Oval,10 Sep 2004,2169.0,,
best_economy_innings,Best Economy Rate (innings),8,DJ Bravo,,,,,14,,,,,,,,,,,10.0,1.0,3.0,,1.4,,,West Indies,v Bangladesh,Jaipur,11 Oct 2006,2426.0,,
best_economy_innings,Best Economy Rate (innings),9,HDPK Dharmasena,,,,,14,,,,,,,,,,,9.0,3.0,2.0,,1.55,,,Sri Lanka,v Netherlands,Colombo (RPS),16 Sep 2002,1878.0,,
best_economy_innings,Best Economy Rate (innings),10,MF Maharoof,,,,,14,,,,,,,,,,,9.0,2.0,6.0,,1.55,,,Sri Lanka,v West Indies,Brabourne,14 Oct 2006,2428.0,,
best_economy_innings,Best Economy Rate (innings),11,PA de Silva,,,,,16,,,,,,,,,,,10.0,2.0,1.0,,1.6,,,Sri Lanka,v Australia,Colombo (RPS),27 Sep 2002,1887.0,,
best_economy_innings,Best Economy Rate (innings),12,WPUJC Vaas,,,,,16,,,,,,,,,,,10.0,3.0,2.0,,1.6,,,Sri Lanka,v South Africa,Ahmedabad,24 Oct 2006,2435.0,,
best_economy_innings,Best Economy Rate (innings),13,SM Pollock,,,,,10,,,,,,,,,,,6.0,2.0,1.0,,1.66,,,South Africa,v Kenya,Colombo (RPS),20 Sep 2002,1882.0,,
best_economy_innings,Best Economy Rate (innings),14,Shoaib Akhtar,,,,,14,,,,,,,,,,,8.0,3.0,1.0,,1.75,,,Pakistan,v Netherlands,Colombo (SSC),21 Sep 2002,1883.0,,
best_economy_innings,Best Economy Rate (innings),15,Harbhajan Singh,,,,,14,,,,,,,,,,,8.0,2.0,2.0,,1.75,,,India,v West Indies,Johannesburg,30 Sep 2009,2904.0,,
best_economy_innings,Best Economy Rate (innings),16,JM Anderson,,,,,14,,,,,,,,,,,8.0,1.0,2.0,,1.75,,,England,v South Africa,The Oval,19 Jun 2013,3375.0,,
best_economy_innings,Best Economy Rate (innings),17,Mohammad Sami,,,,,18,,,,,,,,,,,10.0,1.0,1.0,,1.8,,,Pakistan,v Netherlands,Colombo (SSC),21 Sep 2002,1883.0,,
best_economy_innings,Best Economy Rate (innings),18,Shahid Afridi,,,,,18,,,,,,,,,,,10.0,3.0,3.0,,1.8,,,Pakistan,v Netherlands,Colombo (SSC),21 Sep 2002,1883.0,,
best_economy_innings,Best Economy Rate (innings),19,Shakib Al Hasan,,,,,18,,,,,,,,,,,10.0,1.0,3.0,,1.8,,,Bangladesh,v Zimbabwe,Jaipur,13 Oct 2006,2427.0,,
best_economy_innings,Best Economy Rate (innings),20,MH Yardy,,,,,18,,,,,,,,,,,10.0,1.0,0.0,,1.8,,,England,v Australia,Jaipur,21 Oct 2006,2434.0,,
most_runs_conceded,Most Runs Conceded (innings),1,Wahab Riaz,,,,,87,,,,,,,,,,,8.4,0.0,0.0,,10.03,,,Pakistan,v India,Birmingham,4 Jun 2017,3878.0,,
