player,team,span,mat,inns,no,runs,hs,avg,bf,sr,100,50,0,4s,6s,cycle
JE Root,ENG,2021-2022,22,40,4,1915,180*,53.19,3149,60.81,8,6,4,217,3,2021-2023
UT Khawaja,AUS,2022-2023,17,30,5,1621,195*,64.84,3239,50.04,6,7,2,174,7,2021-2023
M Labuschagne,AUS,2021-2023,20,35,5,1576,204,52.53,3017,52.23,5,5,2,182,6,2021-2023
Babar Azam,PAK,2021-2023,14,26,1,1527,196,61.08,2873,53.15,4,10,0,171,12,2021-2023
SPD Smith,AUS,2021-2023,20,32,5,1407,200*,52.11,2947,47.74,4,6,4,148,7,2021-2023
TM Head,AUS,2021-2023,18,28,3,1389,175,55.56,1698,81.8,4,6,1,169,18,2021-2023
JM Bairstow,ENG,2021-2022,15,28,3,1285,162,51.4,1865,68.9,6,2,3,157,19,2021-2023
FDM Karunaratne,SL,2021-2023,12,23,1,1054,147,47.9,2030,51.92,2,8,0,117,0,2021-2023
Litton Das,BAN,2021-2022,12,22,0,1024,141,46.54,1802,56.82,3,6,0,123,4,2021-2023
KC Brathwaite,WI,2021-2023,13,26,3,994,160,43.21,2545,39.05,2,7,2,112,2,2021-2023
Abdullah Shafique,PAK,2021-2023,12,23,2,992,160*,47.23,2392,41.47,3,4,2,96,14,2021-2023
BA Stokes,ENG,2021-2022,18,32,2,971,120,32.36,1537,63.17,2,4,1,106,28,2021-2023
DJ Mitchell,NZ,2021-2023,11,18,2,960,190,60.0,1793,53.54,4,5,0,96,20,2021-2023
TWM Latham,NZ,2021-2023,13,23,1,960,252,43.63,1877,51.14,2,6,2,118,3,2021-2023
LD Chandimal,SL,2021-2023,10,18,4,958,206*,68.42,1765,54.27,2,5,1,84,15,2021-2023
Imam-ul-Haq,PAK,2022-2023,9,18,1,932,157,54.82,1961,47.52,3,4,1,101,8,2021-2023
V Kohli,IND,2021-2023,17,30,1,932,186,32.13,2047,45.53,1,3,2,110,2,2021-2023
CA Pujara,IND,2021-2023,17,32,3,928,102*,32.0,2179,42.58,1,6,3,123,2,2021-2023
T Bavuma,SA,2021-2023,12,24,4,900,172,45.0,1810,49.72,1,5,2,103,3,2021-2023
Z Crawley,ENG,2021-2022,17,33,1,894,122,27.93,1445,61.86,2,3,3,138,0,2021-2023
DA Warner,AUS,2021-2023,18,30,1,891,200,30.72,1493,59.67,1,4,3,111,8,2021-2023
DP Conway,NZ,2022-2023,11,19,1,884,122,49.11,1642,53.83,3,4,1,118,3,2021-2023
AD Mathews,SL,2021-2023,12,21,2,882,199,46.42,1900,46.42,3,2,2,79,13,2021-2023
RR Pant,IND,2021-2022,12,21,1,868,146,43.4,1074,80.81,2,5,1,96,22,2021-2023
OJ Pope,ENG,2021-2022,14,26,1,844,145,33.76,1278,66.04,2,6,1,94,3,2021-2023
TA Blundell,NZ,2021-2023,13,22,3,819,106,43.1,1678,48.8,1,7,2,103,2,2021-2023
AT Carey,AUS,2021-2023,20,27,4,803,111,34.91,1325,60.6,1,4,3,86,3,2021-2023
D Elgar,SA,2021-2023,15,29,1,799,96*,28.53,1610,49.62,0,6,2,103,1,2021-2023
RG Sharma,IND,2021-2023,11,19,1,758,127,42.11,1499,50.56,2,2,0,88,11,2021-2023
DM de Silva,SL,2021-2023,11,21,2,753,155*,39.63,1304,57.74,2,3,1,83,7,2021-2023
KS Williamson,NZ,2021-2023,7,12,2,752,215,75.2,1505,49.96,3,0,0,86,4,2021-2023
C Green,AUS,2021-2023,17,23,3,736,114,36.8,1477,49.83,1,5,1,79,2,2021-2023
J Blackwood,WI,2021-2023,13,24,1,722,102,31.39,1522,47.43,1,3,1,95,2,2021-2023
RA Jadeja,IND,2021-2023,13,21,1,721,175*,36.05,1452,49.65,2,3,2,84,7,2021-2023
SS Iyer,IND,2021-2023,10,16,1,666,105,44.4,1012,65.81,1,5,1,80,14,2021-2023
KL Rahul,IND,2021-2023,11,21,0,636,129,30.28,1563,40.69,2,2,1,81,4,2021-2023
Mushfiqur Rahim,BAN,2021-2022,9,17,2,625,175*,41.66,1479,42.25,2,2,1,67,0,2021-2023
HM Nicholls,NZ,2021-2023,12,20,1,614,200*,32.31,1120,54.82,2,1,2,69,4,2021-2023
Saud Shakeel,PAK,2022-2023,5,10,2,580,125*,72.5,1392,41.66,1,5,0,72,1,2021-2023
Azhar Ali,PAK,2021-2022,10,18,1,563,185,33.11,1350,41.7,1,2,3,59,5,2021-2023
Mohammad Rizwan,PAK,2021-2022,12,21,4,553,104*,32.52,1080,51.2,1,1,1,62,5,2021-2023
KD Petersen,SA,2021-2023,9,17,0,552,82,32.47,1101,50.13,0,4,0,69,0,2021-2023
K Verreynne,SA,2022-2023,12,20,3,533,136*,31.35,968,55.06,1,2,3,59,3,2021-2023
BKG Mendis,SL,2022-2023,9,16,0,531,87,33.18,936,56.73,0,6,1,68,1,2021-2023
Shubman Gill,IND,2021-2023,8,15,0,507,128,33.8,837,60.57,2,1,0,54,8,2021-2023
J Da Silva,WI,2021-2023,13,22,4,484,100*,26.88,1336,36.22,1,1,2,54,1,2021-2023
HC Brook,ENG,2022-2022,4,6,0,480,153,80.0,521,92.13,3,1,0,55,12,2021-2023
SJ Erwee,SA,2022-2023,10,19,1,479,108,26.61,1107,43.27,1,1,2,56,0,2021-2023
AK Markram,SA,2021-2023,9,17,0,461,115,27.11,835,55.2,1,1,0,77,0,2021-2023
Najmul Hossain Shanto,BAN,2021-2022,12,23,0,460,67,20.0,1034,44.48,0,2,3,58,5,2021-2023
