venue_id,venue_name,city,country
141,M.Chinnaswamy Stadium,Bangalore,India
142,JSCA International Stadium Complex,Ranchi,India
143,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
144,The Village,Dublin,Ireland
145,Clontarf Cricket Club,Dublin,Ireland
146,The Grange,Edinburgh,Scotland
147,Brisbane Cricket Ground,Brisbane,Australia
148,Blundstone Arena,Hobart,Australia
149,Sportpark Maarschalkerweerd,Utrecht,Netherlands
150,Brian Lara Stadium,Tarouba,Trinidad & Tobago
151,Cobham Oval,Whangarei,New Zealand
152,Cazaly's Stadium,Cairns,Australia
153,Barsapara Cricket Ground,Guwahati,India
154,Rajiv Gandhi International Stadium,Hyderabad,India
155,Greenfield Stadium,Thiruvananthapuram,India
156,Punjab Cricket Association Stadium,"Mohali, Chandigarh",India
157,Perth Stadium,Perth,Australia
158,Old Hararians Sports Club,Harare,Zimbabwe
159,Bulawayo Athletic Club,Bulawayo,Zimbabwe
160,Bready,Derry,Northern Ireland
161,Rajiv Gandhi International Cricket Stadium,Dehradun,India
162,OC Turf 1,Al Amarat,Oman
163,OC Turf 2,Al Amarat,Oman
164,Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,Lucknow,India
165,Oman Cricket Academy Ground,Al Amerat,Oman
166,Al Amerat Cricket Ground 2,Al Amerat,Oman
167,Tribhuvan University International Cricket Ground,Kirtipur,Nepal
168,Wanderers,Windhoek,Namibia
169,West End Park International Cricket Stadium,Doha,Qatar
170,R.Premadasa Stadium,Khettarama,
171,Grange Cricket Club,Raeburn Place,
172,Moosa Stadium,Pearland,
173,Titwood,Glasgow,
174,New Cambusdoon Ground,Ayr,
175,Multan Cricket Stadium,,
176,Barsapara Cricket Stadium,Guwahati,
177,Shaheed Veer Narayan Singh International Cricket Stadium,,
178,YS Raja Reddy Stadium,Kadapa,
179,Takashinga Sports Club,,
180,"The County Ground, Taunton",Taunton,England
181,Nassau County International Cricket Stadium,New York,USA
