stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w
most_wickets,Most Wickets (career),13,KAJ Roach (WI),2019-2026,36,67.0,,3103,,26.07,,51.72,,,,,,6155.0,1025.5,220.0,119.0,5/47,3.02,4.0,3.0,,,,,,
most_wickets,Most Wickets (career),14,BA Stokes (ENG),2019-2026,64,86.0,,3480,,29.24,,53.08,,,,,,6317.0,1052.5,165.0,119.0,5/23,3.3,5.0,2.0,,,,,,
most_wickets,Most Wickets (career),15,Taijul Islam (BAN),2019-2026,29,50.0,,3928,,33.0,,65.84,,,,,,7836.0,1306.0,241.0,119.0,7/116,3.0,6.0,9.0,,,,,,
most_wickets,Most Wickets (career),16,JM Anderson (ENG),2019-2024,36,65.0,,2763,,23.81,,59.06,,,,,,6851.0,1141.5,329.0,116.0,6/40,2.41,4.0,5.0,,,,,,
most_wickets,Most Wickets (career),17,JNT Seales (WI),2021-2026,30,57.0,,2843,,25.84,,46.06,,,,,,5067.0,844.3,161.0,110.0,6/61,3.36,4.0,4.0,,,,,,
most_wickets,Most Wickets (career),18,CR Woakes (ENG),2019-2025,34,66.0,,3168,,28.8,,56.91,,,,,,6261.0,1043.3,233.0,110.0,5/50,3.03,3.0,2.0,,,,,,
most_wickets,Most Wickets (career),19,NGRP Jayasuriya (SL),2022-2026,22,40.0,,3744,,34.34,,63.24,,,,,,6894.0,1149.0,154.0,109.0,6/42,3.25,4.0,9.0,,,,,,
most_wickets,Most Wickets (career),20,MJ Leach (ENG),2019-2024,30,51.0,,3690,,34.81,,66.89,,,,,,7091.0,1181.5,241.0,106.0,5/66,3.12,10.0,3.0,,,,,,
best_bowling_innings,Best Bowling Figures (innings),1,AY Patel,,,1.0,,119,,,,,,,,,,,47.5,12.0,10.0,,2.48,,,New Zealand,v India,Wankhede,3 Dec 2021,2438.0,
best_bowling_innings,Best Bowling Figures (innings),2,Sajid Khan,,,2.0,,42,,,,,,,,,,,15.0,4.0,8.0,,2.8,,,Pakistan,v Bangladesh,Mirpur,4 Dec 2021,2439.0,
best_bowling_innings,Best Bowling Figures (innings),3,Noman Ali,,,4.0,,46,,,,,,,,,,,16.3,1.0,8.0,,2.78,,,Pakistan,v England,Multan,15 Oct 2024,2554.0,
best_bowling_innings,Best Bowling Figures (innings),4,NM Lyon,,,3.0,,64,,,,,,,,,,,23.3,1.0,8.0,,2.72,,,Australia,v India,Indore,1 Mar 2023,2496.0,
best_bowling_innings,Best Bowling Figures (innings),5,M Jansen,,,2.0,,13,,,,,,,,,,,6.5,1.0,7.0,,1.9,,,South Africa,v Sri Lanka,Durban,27 Nov 2024,2563.0,
best_bowling_innings,Best Bowling Figures (innings),6,MJ Henry,,,1.0,,23,,,,,,,,,,,15.0,7.0,7.0,,1.53,,,New Zealand,v South Africa,Christchurch,17 Feb 2022,2450.0,
best_bowling_innings,Best Bowling Figures (innings),7,KA Maharaj,,,4.0,,32,,,,,,,,,,,10.0,0.0,7.0,,3.2,,,South Africa,v Bangladesh,Durban,31 Mar 2022,2460.0,
best_bowling_innings,Best Bowling Figures (innings),8,JA Warrican,,,3.0,,32,,,,,,,,,,,18.0,3.0,7.0,,1.77,,,West Indies,v Pakistan,Multan,17 Jan 2025,2577.0,
best_bowling_innings,Best Bowling Figures (innings),9,KA Maharaj,,,4.0,,40,,,,,,,,,,,12.0,3.0,7.0,,3.33,,,South Africa,v Bangladesh,Gqeberha,8 Apr 2022,2461.0,
best_bowling_innings,Best Bowling Figures (innings),10,RA Jadeja,,,3.0,,42,,,,,,,,,,,12.1,1.0,7.0,,3.45,,,India,v Australia,Delhi,17 Feb 2023,2493.0,
best_bowling_innings,Best Bowling Figures (innings),11,AAP Atkinson,,,1.0,,45,,,,,,,,,,,12.0,5.0,7.0,,3.75,,,England,v West Indies,Lord's,10 Jul 2024,2538.0,
best_bowling_innings,Best Bowling Figures (innings),12,Shoriful Islam,,,2.0,,48,,,,,,,,,,,15.0,3.0,7.0,,3.2,,,Bangladesh,v Australia,Mackay,22 Aug 2026,2632.0,
best_bowling_innings,Best Bowling Figures (innings),13,MJ Santner,,,2.0,,53,,,,,,,,,,,19.3,1.0,7.0,,2.71,,,New Zealand,v India,Pune,24 Oct 2024,2557.0,
