stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w
most_runs_conceded,Most Runs Conceded (innings),18,JDF Vandersay,,,,,182,,,,,,,,,,,38.0,0.0,3.0,,4.78,,,Sri Lanka,v Australia,Galle,29 Jan 2025,2579.0,
most_runs_conceded,Most Runs Conceded (innings),19,KA Maharaj,,,,,180,,,,,,,,,,,58.0,15.0,5.0,,3.1,,,South Africa,v England,Gqeberha,16 Jan 2020,2380.0,
most_runs_conceded,Most Runs Conceded (innings),20,L Embuldeniya,,,,,176,,,,,,,,,,,45.0,4.0,3.0,,3.91,,,Sri Lanka,v England,Galle,14 Jan 2021,2403.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),1,R Ashwin (IND),2019-2024,41,78.0,,4191,,21.49,,45.5,,,,,,8874.0,1479.0,278.0,195.0,7/71,2.83,9.0,11.0,,,,,,1.0
most_five_wicket_hauls,Most Five-Wicket Hauls (career),2,PJ Cummins (AUS),2019-2026,54,100.0,,4986,,21.86,,45.05,,,,,,10272.0,1712.0,373.0,228.0,6/28,2.91,10.0,10.0,,,,,,1.0
most_five_wicket_hauls,Most Five-Wicket Hauls (career),3,NM Lyon (AUS),2019-2026,57,101.0,,6190,,27.14,,57.94,,,,,,13212.0,2202.0,424.0,228.0,8/64,2.81,13.0,10.0,,,,,,3.0
most_five_wicket_hauls,Most Five-Wicket Hauls (career),4,NGRP Jayasuriya (SL),2022-2026,22,40.0,,3744,,34.34,,63.24,,,,,,6894.0,1149.0,154.0,109.0,6/42,3.25,4.0,9.0,,,,,,1.0
most_five_wicket_hauls,Most Five-Wicket Hauls (career),5,Taijul Islam (BAN),2019-2026,29,50.0,,3928,,33.0,,65.84,,,,,,7836.0,1306.0,241.0,119.0,7/116,3.0,6.0,9.0,,,,,,1.0
most_five_wicket_hauls,Most Five-Wicket Hauls (career),6,Noman Ali (PAK),2021-2026,20,38.0,,2389,,25.68,,49.72,,,,,,4624.0,770.4,119.0,93.0,8/46,3.09,3.0,8.0,,,,,,3.0
most_five_wicket_hauls,Most Five-Wicket Hauls (career),7,JR Hazlewood (AUS),2019-2026,34,65.0,,2820,,20.28,,44.18,,,,,,6142.0,1023.4,257.0,139.0,6/89,2.75,7.0,8.0,,,,,,0.0
most_five_wicket_hauls,Most Five-Wicket Hauls (career),8,K Rabada (SA),2019-2025,36,65.0,,3660,,22.31,,40.28,,,,,,6606.0,1101.0,206.0,164.0,6/46,3.32,7.0,8.0,,,,,,0.0
most_five_wicket_hauls,Most Five-Wicket Hauls (career),9,MA Starc (AUS),2019-2026,56,109.0,,5675,,24.25,,41.79,,,,,,9781.0,1630.1,289.0,234.0,7/58,3.48,11.0,8.0,,,,,,2.0
most_five_wicket_hauls,Most Five-Wicket Hauls (career),10,KA Maharaj (SA),2019-2025,36,57.0,,3555,,29.62,,58.63,,,,,,7036.0,1172.4,215.0,120.0,7/32,3.03,2.0,7.0,,,,,,0.0
most_five_wicket_hauls,Most Five-Wicket Hauls (career),11,KA Jamieson (NZ),2020-2026,20,38.0,,1708,,19.63,,42.55,,,,,,3702.0,617.0,185.0,87.0,6/48,2.76,4.0,6.0,,,,,,1.0
most_five_wicket_hauls,Most Five-Wicket Hauls (career),12,AY Patel (NZ),2019-2025,16,29.0,,2098,,28.35,,51.47,,,,,,3809.0,634.5,111.0,74.0,10/119,3.3,2.0,6.0,,,,,,2.0
most_five_wicket_hauls,Most Five-Wicket Hauls (career),13,MJ Henry (NZ),2020-2026,20,40.0,,2167,,22.57,,44.81,,,,,,4302.0,717.0,163.0,96.0,7/23,3.02,3.0,6.0,,,,,,1.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),1,Noman Ali (PAK),2021-2026,20,38.0,,2389,,25.68,,49.72,,,,,,4624.0,770.4,119.0,93.0,8/46,3.09,3.0,8.0,,,,,,3.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),2,NM Lyon (AUS),2019-2026,57,101.0,,6190,,27.14,,57.94,,,,,,13212.0,2202.0,424.0,228.0,8/64,2.81,13.0,10.0,,,,,,3.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),3,Sajid Khan (PAK),2021-2026,14,27.0,,2104,,28.05,,49.94,,,,,,3746.0,624.2,78.0,75.0,8/42,3.36,6.0,4.0,,,,,,2.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),4,AY Patel (NZ),2019-2025,16,29.0,,2098,,28.35,,51.47,,,,,,3809.0,634.5,111.0,74.0,10/119,3.3,2.0,6.0,,,,,,2.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),5,RA Jadeja (IND),2019-2026,50,93.0,,4460,,27.19,,57.17,,,,,,9376.0,1562.4,299.0,164.0,7/42,2.85,10.0,6.0,,,,,,2.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),6,MA Starc (AUS),2019-2026,56,109.0,,5675,,24.25,,41.79,,,,,,9781.0,1630.1,289.0,234.0,7/58,3.48,11.0,8.0,,,,,,2.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),7,MJ Suthar (IND),2026-2026,2,4.0,,337,,21.06,,40.62,,,,,,650.0,108.2,11.0,16.0,6/55,3.11,1.0,1.0,,,,,,1.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),8,S Muthusamy (SA),2019-2025,7,12.0,,470,,24.73,,40.26,,,,,,765.0,127.3,16.0,19.0,6/117,3.68,1.0,2.0,,,,,,1.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),9,P Jayawickrama (SL),2021-2022,5,10.0,,642,,25.68,,52.8,,,,,,1320.0,220.0,50.0,25.0,6/92,2.91,2.0,2.0,,,,,,1.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),10,Akash Deep (IND),2024-2025,10,18.0,,1002,,35.78,,54.85,,,,,,1536.0,256.0,40.0,28.0,6/99,3.91,1.0,1.0,,,,,,1.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),11,MJ Santner (NZ),2019-2026,11,21.0,,1146,,30.15,,57.0,,,,,,2166.0,361.0,52.0,38.0,7/53,3.17,1.0,2.0,,,,,,1.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),12,Washington Sundar (IND),2021-2025,17,29.0,,1187,,32.97,,60.77,,,,,,2188.0,364.4,41.0,36.0,7/59,3.25,3.0,1.0,,,,,,1.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),13,Abrar Ahmed (PAK),2022-2025,10,19.0,,1580,,34.34,,57.19,,,,,,2631.0,438.3,59.0,46.0,7/114,3.6,5.0,2.0,,,,,,1.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),14,AR Patel (IND),2021-2025,15,29.0,,1121,,19.66,,46.66,,,,,,2660.0,443.2,98.0,57.0,6/38,2.52,2.0,5.0,,,,,,1.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),15,BA Carse (ENG),2024-2026,14,27.0,,1751,,30.18,,46.53,,,,,,2699.0,449.5,58.0,58.0,6/42,3.89,4.0,1.0,,,,,,1.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),16,Hasan Ali (PAK),2021-2026,16,31.0,,1451,,33.74,,64.79,,,,,,2786.0,464.2,89.0,43.0,5/51,3.12,0.0,3.0,,,,,,1.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),17,SM Boland (AUS),2021-2026,19,37.0,,1524,,18.58,,38.91,,,,,,3191.0,531.5,122.0,82.0,6/7,2.86,3.0,2.0,,,,,,1.0
most_ten_wicket_hauls,Most Ten-Wicket Hauls (career),18,AAP Atkinson (ENG),2024-2026,20*,39.0,,2029,,25.36,,41.76,,,,,,3341.0,556.5,104.0,80.0,7/45,3.64,2.0,5.0,,,,,,1.0
