match_id,year,stage,match_number,match_date,ground,country,team1,team1_score,team1_wickets,team1_overs,team2,team2_score,team2_wickets,team2_overs,winner,win_margin,toss
ODIWC-1987-11,1987,Group A,11,1987-10-17,"Wankhede Stadium, Bombay",India,Zimbabwe,135,10,44.2,India,136,2,27.5,India,8 wickets,Zimbabwe
ODIWC-1987-12,1987,Group A,12,1987-10-18,"Nehru Stadium, Indore",India,Australia,199,4,30.0,New Zealand,196,9,30.0,Australia,3 runs,New Zealand
ODIWC-1987-13,1987,Group B,13,1987-10-20,"National Stadium, Karachi",Pakistan,England,244,9,50.0,Pakistan,247,3,49.0,Pakistan,7 wickets,Pakistan
ODIWC-1987-14,1987,Group B,14,1987-10-21,"Green Park, Kanpur",India,West Indies,236,8,50.0,Sri Lanka,211,8,50.0,West Indies,25 runs,Sri Lanka
ODIWC-1987-15,1987,Group A,15,1987-10-22,"Feroz Shah Kotla, Delhi",India,India,289,6,50.0,Australia,233,10,49.0,India,56 runs,Australia
ODIWC-1987-16,1987,Group A,16,1987-10-23,"Eden Gardens, Calcutta",India,Zimbabwe,227,5,50.0,New Zealand,228,6,47.4,New Zealand,4 wickets,New Zealand
ODIWC-1987-17,1987,Group B,17,1987-10-25,"Iqbal Stadium, Faisalabad",Pakistan,Pakistan,297,7,50.0,Sri Lanka,184,8,50.0,Pakistan,113 runs,Pakistan
ODIWC-1987-18,1987,Group B,18,1987-10-26,"Sawai Mansingh Stadium, Jaipur",India,England,269,5,50.0,West Indies,235,10,48.1,England,34 runs,West Indies
ODIWC-1987-19,1987,Group A,19,1987-10-26,"Gujarat Stadium, Motera, Ahmedabad",India,Zimbabwe,191,7,50.0,India,194,3,42.0,India,7 wickets,India
ODIWC-1987-20,1987,Group A,20,1987-10-27,"Sector 16 Stadium, Chandigarh",India,Australia,251,8,50.0,New Zealand,234,10,48.4,Australia,17 runs,Australia
ODIWC-1987-21,1987,Group A,21,1987-10-30,"Barabati Stadium, Cuttack",India,Australia,266,5,50.0,Zimbabwe,196,6,50.0,Australia,70 runs,Zimbabwe
ODIWC-1987-22,1987,Group B,22,1987-10-30,"Nehru Stadium, Pune",India,Sri Lanka,218,7,50.0,England,219,2,41.2,England,8 wickets,Sri Lanka
ODIWC-1987-23,1987,Group B,23,1987-10-30,"National Stadium, Karachi",Pakistan,West Indies,258,7,50.0,Pakistan,230,9,50.0,West Indies,28 runs,West Indies
ODIWC-1987-24,1987,Group A,24,1987-10-31,"Vidarbha Cricket Association Ground, Nagpur",India,New Zealand,221,9,50.0,India,224,1,32.1,India,9 wickets,New Zealand
ODIWC-1987-25,1987,tournament semi-finals,25,1987-11-04,"Gaddafi Stadium, Lahore",Pakistan,Australia,267,8,50.0,Pakistan,249,10,49.0,Australia,18 runs,Australia
ODIWC-1987-26,1987,tournament semi-finals,26,1987-11-05,"Wankhede Stadium, Bombay",India,England,254,6,50.0,India,219,10,45.3,England,35 runs,India
ODIWC-1987-27,1987,tournament finals,27,1987-11-08,"Eden Gardens, Calcutta",India,Australia,253,5,50.0,England,246,8,50.0,Australia,7 runs,Australia
ODIWC-1992-1,1992,Round,1,1992-02-22,"Eden Park, Auckland",New Zealand,New Zealand,248,6,50.0,Australia,211,10,48.1,New Zealand,37 runs,New Zealand
ODIWC-1992-2,1992,Round,2,1992-02-22,"Western Australia Cricket Association Ground, Perth",Australia,England,236,9,50.0,India,227,10,49.2,England,9 runs,England
ODIWC-1992-3,1992,Round,3,1992-02-23,"Pukekura Park, New Plymouth",New Zealand,Zimbabwe,312,4,50.0,Sri Lanka,313,7,49.2,Sri Lanka,3 wickets,Sri Lanka
ODIWC-1992-4,1992,Round,4,1992-02-23,Melbourne Cricket Ground,Australia,Pakistan,220,2,50.0,West Indies,221,0,46.5,West Indies,10 wickets,West Indies
ODIWC-1992-5,1992,Round,5,1992-02-25,"Trust Bank Park, Hamilton",New Zealand,Sri Lanka,206,9,50.0,New Zealand,210,4,48.2,New Zealand,6 wickets,New Zealand
ODIWC-1992-6,1992,Round,6,1992-02-26,Sydney Cricket Ground,Australia,Australia,170,9,49.0,South Africa,171,1,46.5,South Africa,9 wickets,Australia
ODIWC-1992-7,1992,Round,7,1992-02-27,"Bellerive Oval, Hobart",Australia,Pakistan,254,4,50.0,Zimbabwe,201,7,50.0,Pakistan,53 runs,Zimbabwe
ODIWC-1992-8,1992,Round,8,1992-02-27,Melbourne Cricket Ground,Australia,West Indies,157,10,49.2,England,160,4,39.5,England,6 wickets,England
ODIWC-1992-9,1992,Round,9,1992-02-28,"Ray Mitchell Oval, Harrup Park, Mackay",Australia,India,1,0,0.2,Sri Lanka,0,0,0.0,No Result,,Sri Lanka
ODIWC-1992-10,1992,Round,10,1992-02-29,"Eden Park, Auckland",New Zealand,South Africa,190,7,50.0,New Zealand,191,3,34.3,New Zealand,7 wickets,South Africa
ODIWC-1992-11,1992,Round,11,1992-02-29,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia,West Indies,264,8,50.0,Zimbabwe,189,7,50.0,West Indies,75 runs,Zimbabwe
ODIWC-1992-12,1992,Round,12,1992-03-01,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia,Australia,237,9,50.0,India,234,10,47.0,Australia,1 runs,Australia
ODIWC-1992-13,1992,Round,13,1992-03-01,Adelaide Oval,Australia,Pakistan,74,10,40.2,England,24,1,8.0,No Result,,England
ODIWC-1992-14,1992,Round,14,1992-03-02,"Basin Reserve, Wellington",New Zealand,South Africa,195,10,50.0,Sri Lanka,198,7,49.5,Sri Lanka,3 wickets,Sri Lanka
ODIWC-1992-15,1992,Round,15,1992-03-03,"McLean Park, Napier",New Zealand,New Zealand,162,3,20.5,Zimbabwe,105,7,18.0,New Zealand,48 runs,Zimbabwe
ODIWC-1992-16,1992,Round,16,1992-03-04,Sydney Cricket Ground,Australia,India,216,7,49.0,Pakistan,173,10,48.1,India,43 runs,India
ODIWC-1992-17,1992,Round,17,1992-03-05,"Lancaster Park, Christchurch",New Zealand,South Africa,200,8,50.0,West Indies,136,10,38.4,South Africa,64 runs,West Indies
ODIWC-1992-18,1992,Round,18,1992-03-05,Sydney Cricket Ground,Australia,Australia,171,10,49.0,England,173,2,40.5,England,8 wickets,Australia
ODIWC-1992-19,1992,Round,19,1992-03-07,"Trust Bank Park, Hamilton",New Zealand,India,203,7,32.0,Zimbabwe,104,1,19.1,India,55 runs,India
ODIWC-1992-20,1992,Round,20,1992-03-07,Adelaide Oval,Australia,Sri Lanka,189,9,50.0,Australia,190,3,44.0,Australia,7 wickets,Australia
ODIWC-1992-21,1992,Round,21,1992-03-08,"Eden Park, Auckland",New Zealand,West Indies,203,7,50.0,New Zealand,206,5,48.3,New Zealand,5 wickets,New Zealand
ODIWC-1992-22,1992,Round,22,1992-03-08,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia,South Africa,211,7,50.0,Pakistan,173,8,36.0,South Africa,20 runs,Pakistan
ODIWC-1992-23,1992,Round,23,1992-03-09,"Eastern Oval, Ballarat",Australia,England,280,6,50.0,Sri Lanka,174,10,44.0,England,106 runs,England
