raw_venue_string,venue_id,canonical_name,city,country
"Edgbaston, Birmingham",31,Edgbaston,Birmingham,England
Edinburgh,57,Grange Cricket Club Ground,Edinburgh,Scotland
Emirates Riverside,29,Emirates Riverside,Chester-le-Street,England
Faisalabad,117,Iqbal Stadium,Faisalabad,Pakistan
Gaddafi Stadium,114,Gaddafi Stadium,Lahore,Pakistan
"Gaddafi Stadium, Lahore",114,Gaddafi Stadium,Lahore,Pakistan
Galle International Stadium,27,Galle International Stadium,Galle,Sri Lanka
"Galle International Stadium, Galle",27,Galle International Stadium,Galle,Sri Lanka
Geelong,71,Saxton Oval,Nelson,New Zealand
Gqeberha,18,St George's Park,Port Elizabeth,South Africa
Grace Road,115,Grace Road,Leicester,England
Grange Cricket Club,171,Grange Cricket Club,Raeburn Place,
Grange Cricket Club Ground,57,Grange Cricket Club Ground,Edinburgh,Scotland
Greater Noida Sports Complex Ground,137,Greater Noida Sports Complex Ground,Uttar Pradesh,India
Green Park,90,Green Park,Kanpur,India
"Green Park Stadium, Kanpur",90,Green Park,Kanpur,India
"Green Park, Kanpur",90,Green Park,Kanpur,India
Greenfield Stadium,155,Greenfield Stadium,Thiruvananthapuram,India
Gros Islet,76,Daren Sammy National Cricket Stadium,Gros Islet,West Indies
Gujranwala,118,Jinnah Stadium,Gujranwala,Pakistan
Gwalior,104,Captain Roop Singh Stadium,Gwalior,India
Gymkhana Club Ground,116,Gymkhana Club Ground,Nairobi,Kenya
HEC International Cricket Stadium Complex,37,HEC International Cricket Stadium Complex,Ranchi,India
HPCA Stadium,11,HPCA Stadium,Dharamsala,India
"HPCA Stadium, Dharamsala",11,HPCA Stadium,Dharamsala,India
Hagley Oval,67,Hagley Oval,Christchurch,New Zealand
"Hagley Oval, Christchurch",67,Hagley Oval,Christchurch,New Zealand
Hambantota,25,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka
Hamilton,73,Seddon Park,Hamilton,New Zealand
Harare,63,Harare Sports Club,Harare,Zimbabwe
Harare Sports Club,63,Harare Sports Club,Harare,Zimbabwe
Hazelaarweg,135,Hazelaarweg,Rotterdam,Netherlands
Headingley,55,Headingley,Leeds,England
"Headingley, Leeds",55,Headingley,Leeds,England
Himachal Pradesh Cricket Association Stadium,143,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
