match_id,year,match_date,team1,team2,winner,team1_score,team2_score,margin,ground,host_country,match_no,team1_avg_batting_ranking,team2_avg_batting_ranking,team1_avg_bowling_ranking,team2_avg_bowling_ranking,team1_total_wcs_participated,team1_total_wcs_won,team2_total_wcs_participated,team2_total_wcs_won,team1_win_pct_over_team2
T20WC-2016-164,2016,2016-03-20,Sri Lanka,West Indies,West Indies,122-9 (20),127-3 (18.2),7 wickets,Bengaluru,India,T20I # 543,90.27,76.87,78.33,84.4,5,1,5,1,75.0
T20WC-2016-165,2016,2016-03-21,Australia,Bangladesh,Australia,157-7 (18.3),156-5 (20),3 wickets,Bengaluru,India,T20I # 544,76.6,79.87,82.33,78.27,5,0,5,0,100.0
T20WC-2016-166,2016,2016-03-22,New Zealand,Pakistan,New Zealand,180-5 (20),158-5 (20),22 runs,Mohali,India,T20I # 545,81.47,75.47,71.0,77.8,5,0,5,1,42.85
T20WC-2016-167,2016,2016-03-23,Afghanistan,England,England,127-9 (20),142-7 (20),15 runs,Delhi,India,T20I # 546,84.67,74.93,86.93,97.73,3,0,5,1,0.0
T20WC-2016-168,2016,2016-03-23,India,Bangladesh,India,146-7 (20),145-9 (20),1 run,Bengaluru,India,T20I # 547,76.27,80.0,76.6,78.13,5,1,5,0,100.0
T20WC-2016-169,2016,2016-03-25,Australia,Pakistan,Australia,193-4 (20),172-8 (20),21 runs,Mohali,India,T20I # 548,73.93,74.4,81.6,81.27,5,0,5,1,38.46
T20WC-2016-170,2016,2016-03-25,South Africa,West Indies,West Indies,122-8 (20),123-7 (19.4),3 wickets,Nagpur,India,T20I # 549,78.6,77.93,78.8,81.6,5,0,5,1,66.6
T20WC-2016-171,2016,2016-03-26,Bangladesh,New Zealand,New Zealand,70 (15.4),145-8 (20),75 runs,Eden Gardens,India,T20I # 550,79.13,81.13,77.8,70.4,5,0,5,0,0.0
T20WC-2016-172,2016,2016-03-26,England,Sri Lanka,England,171-4 (20),161-8 (20),10 runs,Delhi,India,T20I # 551,75.47,90.67,96.27,78.8,5,1,5,1,42.85
T20WC-2016-173,2016,2016-03-27,Afghanistan,West Indies,Afghanistan,123-7 (20),117-8 (20),6 runs,Nagpur,India,T20I # 552,84.8,77.47,86.4,79.87,3,0,5,1,0.0
T20WC-2016-174,2016,2016-03-27,India,Australia,India,161-4 (19.1),160-6 (20),6 wickets,Mohali,India,T20I # 553,76.13,74.13,76.0,80.67,5,1,5,0,66.6
T20WC-2016-175,2016,2016-03-28,South Africa,Sri Lanka,South Africa,122-2 (17.4),120 (19.3),8 wickets,Delhi,India,T20I # 554,80.47,89.6,77.4,77.4,5,0,5,1,60.0
T20WC-2016-176,2016,2016-03-30,England,New Zealand,England,159-3 (17.1),153-8 (20),7 wickets,Delhi,India,T20I # 555,74.2,80.47,93.8,73.2,5,1,5,0,61.53
T20WC-2016-177,2016,2016-03-31,India,West Indies,West Indies,192-2 (20),196-3 (19.4),7 wickets,Wankhede,India,T20I # 556,76.07,77.33,74.0,77.73,5,1,5,1,50.0
T20WC-2016-178,2016,2016-04-03,England,West Indies,West Indies,155-9 (20),161-6 (19.4),4 wickets,Eden Gardens,India,T20I # 557,72.33,75.13,88.4,78.07,5,1,5,1,33.3
T20WC-2021-179,2021,2021-10-17,Bangladesh,Scotland,Scotland,134-7 (20),140-9 (20),6 runs,Al Amerat,UAE,T20I # 1311,85.53,85.6,82.93,86.6,6,0,3,0,0.0
T20WC-2021-180,2021,2021-10-17,Oman,PNG,Oman,131-0 (13.4),129-9 (20),10 wickets,Al Amerat,UAE,T20I # 1307,94.87,96.33,92.53,97.27,1,0,0,0,0.0
T20WC-2021-181,2021,2021-10-18,Ireland,Netherlands,Ireland,107-3 (15.1),106 (20),7 wickets,Abu Dhabi,UAE,T20I # 1312,90.93,92.6,93.53,93.53,5,0,3,0,0.0
