stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w,Series
most_wickets,Most Wickets (career),12,TG Southee (NZ),2011-2023,22.0,22.0,,1110,,27.07,,28.58,,,,,,1172.0,195.2,16.0,41.0,7/33,5.68,0.0,1.0,,,,,,,
most_wickets,Most Wickets (career),13,Imran Tahir (SA),2011-2019,22.0,21.0,,847,,21.17,,28.77,,,,,,1151.0,191.5,7.0,40.0,5/45,4.41,4.0,1.0,,,,,,,
most_wickets,Most Wickets (career),14,JJ Bumrah (IND),2019-2023,20.0,20.0,,744,,19.57,,27.76,,,,,,1055.0,175.5,18.0,38.0,4/39,4.23,2.0,0.0,,,,,,,
most_wickets,Most Wickets (career),15,AA Donald (SA),1992-2003,25.0,25.0,,913,,24.02,,34.55,,,,,,1313.0,218.5,14.0,38.0,4/17,4.17,2.0,0.0,,,,,,,
most_wickets,Most Wickets (career),16,JDP Oram (NZ),2003-2011,23.0,23.0,,768,,21.33,,30.38,,,,,,1094.0,182.2,21.0,36.0,4/39,4.21,2.0,0.0,,,,,,,
most_wickets,Most Wickets (career),17,DL Vettori (NZ),2003-2015,32.0,31.0,,1168,,32.44,,46.91,,,,,,1689.0,281.3,12.0,36.0,4/18,4.14,2.0,0.0,,,,,,,
most_wickets,Most Wickets (career),18,B Lee (AUS),2003-2011,17.0,17.0,,629,,17.97,,23.57,,,,,,825.0,137.3,15.0,35.0,5/42,4.57,2.0,1.0,,,,,,,
most_wickets,Most Wickets (career),19,Wahab Riaz (PAK),2011-2019,20.0,20.0,,926,,26.45,,28.57,,,,,,1000.0,166.4,5.0,35.0,5/46,5.55,1.0,1.0,,,,,,,
most_wickets,Most Wickets (career),20,GB Hogg (AUS),2003-2007,21.0,20.0,,654,,19.23,,27.97,,,,,,951.0,158.3,10.0,34.0,4/27,4.12,2.0,0.0,,,,,,,
best_bowling_innings,Best Bowling Figures (innings),1,GD McGrath,,,2.0,,15,,,,,,,,,,,7.0,4.0,7.0,,2.14,,,Australia,v Namibia,Potchefstroom,27 Feb 2003,ODI #1970,,
best_bowling_innings,Best Bowling Figures (innings),2,AJ Bichel,,,1.0,,20,,,,,,,,,,,10.0,0.0,7.0,,2.0,,,Australia,v England,Gqeberha,2 Mar 2003,ODI #1976,,
best_bowling_innings,Best Bowling Figures (innings),3,TG Southee,,,1.0,,33,,,,,,,,,,,9.0,0.0,7.0,,3.66,,,New Zealand,v England,Wellington,20 Feb 2015,ODI #3607,,
best_bowling_innings,Best Bowling Figures (innings),4,WW Davis,,,2.0,,51,,,,,,,,,,,10.3,0.0,7.0,,4.85,,,West Indies,v Australia,Leeds,11 Jun 1983,ODI #203,,
best_bowling_innings,Best Bowling Figures (innings),5,Mohammed Shami,,,2.0,,57,,,,,,,,,,,9.5,0.0,7.0,,5.79,,,India,v New Zealand,Wankhede,15 Nov 2023,ODI #4703,,
best_bowling_innings,Best Bowling Figures (innings),6,GJ Gilmour,,,1.0,,14,,,,,,,,,,,12.0,6.0,6.0,,1.16,,,Australia,v England,Leeds,18 Jun 1975,ODI #31,,
best_bowling_innings,Best Bowling Figures (innings),7,A Nehra,,,2.0,,23,,,,,,,,,,,10.0,2.0,6.0,,2.3,,,India,v England,Durban,26 Feb 2003,ODI #1969,,
best_bowling_innings,Best Bowling Figures (innings),8,SE Bond,,,1.0,,23,,,,,,,,,,,10.0,2.0,6.0,,2.3,,,New Zealand,v Australia,Gqeberha,11 Mar 2003,ODI #1986,,
best_bowling_innings,Best Bowling Figures (innings),9,WPUJC Vaas,,,1.0,,25,,,,,,,,,,,9.1,2.0,6.0,,2.72,,,Sri Lanka,v Bangladesh,Pietermaritzburg,14 Feb 2003,ODI #1950,,
best_bowling_innings,Best Bowling Figures (innings),10,KAJ Roach,,,2.0,,27,,,,,,,,,,,8.3,0.0,6.0,,3.17,,,West Indies,v Netherlands,Delhi,28 Feb 2011,ODI #3112,,
best_bowling_innings,Best Bowling Figures (innings),11,MA Starc,,,2.0,,28,,,,,,,,,,,9.0,0.0,6.0,,3.11,,,Australia,v New Zealand,Auckland,28 Feb 2015,ODI #3617,,
best_bowling_innings,Best Bowling Figures (innings),12,Shaheen Shah Afridi,,,2.0,,35,,,,,,,,,,,9.1,0.0,6.0,,3.81,,,Pakistan,v Bangladesh,Lord's,5 Jul 2019,ODI #4186,,
best_bowling_innings,Best Bowling Figures (innings),13,SL Malinga,,,1.0,,38,,,,,,,,,,,7.4,0.0,6.0,,4.95,,,Sri Lanka,v Kenya,Colombo (RPS),1 Mar 2011,ODI #3113,,
best_bowling_innings,Best Bowling Figures (innings),14,KH MacLeay,,,2.0,,39,,,,,,,,,,,11.5,3.0,6.0,,3.29,,,Australia,v India,Nottingham,13 Jun 1983,ODI #207,,
best_bowling_innings,Best Bowling Figures (innings),15,GD McGrath,,,1.0,,14,,,,,,,,,,,8.4,3.0,5.0,,1.61,,,Australia,v West Indies,Manchester,30 May 1999,ODI #1470,,
best_bowling_innings,Best Bowling Figures (innings),16,Shahid Afridi,,,2.0,,16,,,,,,,,,,,8.0,3.0,5.0,,2.0,,,Pakistan,v Kenya,Hambantota,23 Feb 2011,ODI #3105,,
best_bowling_innings,Best Bowling Figures (innings),17,AJ Hall,,,1.0,,18,,,,,,,,,,,10.0,2.0,5.0,,1.8,,,South Africa,v England,Bridgetown,17 Apr 2007,ODI #2574,,
best_bowling_innings,Best Bowling Figures (innings),18,Mohammed Shami,,,2.0,,18,,,,,,,,,,,5.0,1.0,5.0,,3.6,,,India,v Sri Lanka,Wankhede,2 Nov 2023,ODI #4690,,
best_bowling_innings,Best Bowling Figures (innings),19,AG Hurst,,,1.0,,21,,,,,,,,,,,10.0,3.0,5.0,,2.1,,,Australia,v Canada,Birmingham,16 Jun 1979,ODI #70,,
best_bowling_innings,Best Bowling Figures (innings),20,PA Strang,,,1.0,,21,,,,,,,,,,,9.4,1.0,5.0,,2.17,,,Zimbabwe,v Kenya,Patna,27 Feb 1996,ODI #1063,,
best_economy_career,Best Economy Rate (career),1,B Wood (ENG),1975-1975,3.0,,,14,,-,,-,,,,,,72.0,12.0,5.0,0.0,-,1.16,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),2,JA Snow (ENG),1975-1975,3.0,,,65,,10.83,,36,,,,,,216.0,36.0,8.0,6.0,4/11,1.8,1.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),3,GD Porter (AUS),1979-1979,2.0,,,33,,11.00,,36,,,,,,108.0,18.0,5.0,3.0,2/13,1.83,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),4,DL Underwood (ENG),1975-1975,2.0,,,41,,20.50,,66,,,,,,132.0,22.0,7.0,2.0,2/30,1.86,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),5,JJC Lawson (WI),2003-2003,1.0,,,16,,8.00,,24,,,,,,48.0,8.0,0.0,2.0,2/16,2.0,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),6,G Dymock (AUS),1979-1979,3.0,,,64,,32.00,,93,,,,,,186.0,31.0,7.0,2.0,1/17,2.06,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),7,GG Arnold (ENG),1975-1975,3.0,,,70,,23.33,,59.3,,,,,,178.0,29.4,7.0,3.0,1/15,2.35,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),8,SR Clark (AUS),2007-2007,1.0,,,19,,19.00,,48,,,,,,48.0,8.0,1.0,1.0,1/19,2.37,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),9,BS Bedi (IND),1975-1979,5.0,,,148,,74.00,,180,,,,,,360.0,60.0,17.0,2.0,1/6,2.46,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),10,KBJ Azad (IND),1983-1983,3.0,,,42,,42.00,,102,,,,,,102.0,17.0,1.0,1.0,1/28,2.47,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),11,Majid Khan (PAK),1975-1979,7.0,,,117,,16.71,,40.2,,,,,,282.0,47.0,8.0,7.0,3/27,2.48,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),12,P Lever (ENG),1975-1975,4.0,,,92,,18.40,,43.2,,,,,,216.0,36.0,3.0,5.0,3/32,2.55,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),13,GJ Gilmour (AUS),1975-1975,2.0,,,62,,5.63,,13,,,,,,144.0,24.0,8.0,11.0,6/14,2.58,0.0,2.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),14,NG Cowans (ENG),1983-1983,1.0,,,31,,15.50,,36,,,,,,72.0,12.0,3.0,2.0,2/31,2.58,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),15,Sikander Bakht (PAK),1979-1979,4.0,,,108,,15.42,,35.1,,,,,,246.0,41.0,10.0,7.0,3/32,2.63,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),16,M Hendrick (ENG),1979-1979,5.0,,,149,,14.90,,33.6,,,,,,336.0,56.0,14.0,10.0,4/15,2.66,1.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),17,RGD Willis (ENG),1979-1983,11.0,,,315,,17.50,,39.3,,,,,,709.0,118.1,27.0,18.0,4/11,2.66,2.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),18,CM Old (ENG),1975-1979,9.0,,,243,,15.18,,33.9,,,,,,543.0,90.3,18.0,16.0,4/8,2.68,1.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),19,DLS de Silva (SL),1979-1979,2.0,,,54,,27.00,,60,,,,,,120.0,20.0,2.0,2.0,2/36,2.7,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),20,LL Tsotsobe (SA),2011-2011,1.0,,,14,,4.66,,10,,,,,,30.0,5.0,2.0,3.0,3/14,2.8,0.0,0.0,,,,,,0.0,
best_economy_innings,Best Economy Rate (innings),1,DA Reeve,,,,,2,,,,,,,,,,,5.0,3.0,1.0,,0.4,,,England,v Pakistan,Adelaide,1 Mar 1992,ODI #726,,
best_economy_innings,Best Economy Rate (innings),2,BS Bedi,,,,,6,,,,,,,,,,,12.0,8.0,1.0,,0.5,,,India,v East Africa,Leeds,11 Jun 1975,ODI #24,,
best_economy_innings,Best Economy Rate (innings),3,M Hendrick,,,,,5,,,,,,,,,,,8.0,4.0,1.0,,0.62,,,England,v Canada,Manchester,13 Jun 1979,ODI #67,,
best_economy_innings,Best Economy Rate (innings),4,AC Botha,,,,,5,,,,,,,,,,,8.0,4.0,2.0,,0.62,,,Ireland,v Pakistan,Kingston,17 Mar 2007,ODI #2539,,
best_economy_innings,Best Economy Rate (innings),5,SM Pollock,,,,,4,,,,,,,,,,,6.0,3.0,1.0,,0.66,,,South Africa,v Netherlands,Basseterre,16 Mar 2007,ODI #2537,,
best_economy_innings,Best Economy Rate (innings),6,PV Simmons,,,,,2,,,,,,,,,,,3.0,2.0,0.0,,0.66,,,West Indies,v Australia,Manchester,30 May 1999,ODI #1470,,
best_economy_innings,Best Economy Rate (innings),7,Mohammad Irfan,,,,,2,,,,,,,,,,,3.0,1.0,0.0,,0.66,,,Pakistan,v U.A.E.,Napier,4 Mar 2015,ODI #3622,,
best_economy_innings,Best Economy Rate (innings),8,CM Old,,,,,8,,,,,,,,,,,10.0,5.0,4.0,,0.8,,,England,v Canada,Manchester,13 Jun 1979,ODI #67,,
best_economy_innings,Best Economy Rate (innings),9,CEL Ambrose,,,,,8,,,,,,,,,,,10.0,4.0,2.0,,0.8,,,West Indies,v Scotland,Leicester,27 May 1999,ODI #1465,,
best_economy_innings,Best Economy Rate (innings),10,B Wood,,,,,4,,,,,,,,,,,5.0,2.0,0.0,,0.8,,,England,v India,Lord's,7 Jun 1975,ODI #19,,
best_economy_innings,Best Economy Rate (innings),11,Sir RJ Hadlee,,,,,10,,,,,,,,,,,12.0,6.0,0.0,,0.83,,,New Zealand,v East Africa,Birmingham,7 Jun 1975,ODI #20,,
best_economy_innings,Best Economy Rate (innings),12,AY Karim,,,,,7,,,,,,,,,,,8.2,6.0,3.0,,0.84,,,Kenya,v Australia,Durban,15 Mar 2003,ODI #1990,,
best_economy_innings,Best Economy Rate (innings),13,JA Snow,,,,,11,,,,,,,,,,,12.0,6.0,4.0,,0.91,,,England,v East Africa,Birmingham,14 Jun 1975,ODI #27,,
best_economy_innings,Best Economy Rate (innings),14,DS de Silva,,,,,11,,,,,,,,,,,12.0,5.0,2.0,,0.91,,,Sri Lanka,v New Zealand,Derby,18 Jun 1983,ODI #214,,
best_economy_innings,Best Economy Rate (innings),15,DR Pringle,,,,,8,,,,,,,,,,,8.2,5.0,3.0,,0.96,,,England,v Pakistan,Adelaide,1 Mar 1992,ODI #726,,
