stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w,Series
most_wickets,Most Wickets (career),12,Arshdeep Singh (IND),2022-2026,22.0,22.0,,625,,17.36,,13.33,,,,,,480.0,80.0,0.0,36.0,4/9,7.81,1.0,0.0,,,,,,,
most_wickets,Most Wickets (career),13,BAW Mendis (SL),2009-2014,21.0,21.0,,526,,15.02,,13.45,,,,,,471.0,78.3,3.0,35.0,6/8,6.7,1.0,1.0,,,,,,,
most_wickets,Most Wickets (career),14,Umar Gul (PAK),2007-2014,24.0,24.0,,604,,17.25,,14.17,,,,,,496.0,82.4,0.0,35.0,5/6,7.3,1.0,1.0,,,,,,,
most_wickets,Most Wickets (career),15,TA Boult (NZ),2014-2024,18.0,18.0,,425,,12.5,,12.64,,,,,,430.0,71.4,2.0,34.0,4/13,5.93,1.0,0.0,,,,,,,
most_wickets,Most Wickets (career),16,K Rabada (SA),2016-2026,29.0,29.0,,843,,25.54,,18.96,,,,,,626.0,104.2,2.0,33.0,3/18,8.07,0.0,0.0,,,,,,,
most_wickets,Most Wickets (career),17,HH Pandya (IND),2016-2026,33.0,30.0,,811,,24.57,,17.09,,,,,,564.0,94.0,3.0,33.0,3/20,8.62,0.0,0.0,,,,,,,
most_wickets,Most Wickets (career),18,R Ashwin (IND),2012-2022,24.0,24.0,,552,,17.25,,15.93,,,,,,510.0,85.0,0.0,32.0,4/11,6.49,1.0,0.0,,,,,,,
most_wickets,Most Wickets (career),19,MA Starc (AUS),2012-2024,25.0,25.0,,814,,25.43,,18.18,,,,,,582.0,97.0,1.0,32.0,3/20,8.39,0.0,0.0,,,,,,,
most_wickets,Most Wickets (career),20,Shaheen Shah Afridi (PAK),2021-2026,22.0,22.0,,608,,19.61,,15.9,,,,,,493.0,82.1,1.0,31.0,4/22,7.39,2.0,0.0,,,,,,,
best_bowling_innings,Best Bowling Figures (innings),1,BAW Mendis,,,2.0,,8,,,,,,,,,,,4.0,2.0,6.0,,2.0,,,Sri Lanka,v Zimbabwe,Hambantota,18 Sep 2012,T20I #263,,
best_bowling_innings,Best Bowling Figures (innings),2,HMRKB Herath,,,2.0,,3,,,,,,,,,,,3.3,2.0,5.0,,0.85,,,Sri Lanka,v New Zealand,Chattogram,31 Mar 2014,T20I #395,,
best_bowling_innings,Best Bowling Figures (innings),3,Umar Gul,,,1.0,,6,,,,,,,,,,,3.0,0.0,5.0,,2.0,,,Pakistan,v New Zealand,The Oval,13 Jun 2009,T20I #107,,
best_bowling_innings,Best Bowling Figures (innings),4,Fazalhaq Farooqi,,,2.0,,9,,,,,,,,,,,4.0,0.0,5.0,,2.25,,,Afghanistan,v Uganda,Providence,3 Jun 2024,T20I #2636,,
best_bowling_innings,Best Bowling Figures (innings),5,SM Curran,,,1.0,,10,,,,,,,,,,,3.4,0.0,5.0,,2.72,,,England,v Afghanistan,Perth,22 Oct 2022,T20I #1840,,
best_bowling_innings,Best Bowling Figures (innings),6,AJ Hosein,,,2.0,,11,,,,,,,,,,,4.0,0.0,5.0,,2.75,,,West Indies,v Uganda,Providence,8 Jun 2024,T20I #2651,,
best_bowling_innings,Best Bowling Figures (innings),7,Ahsan Malik,,,1.0,,19,,,,,,,,,,,4.0,0.0,5.0,,4.75,,,Netherlands,v South Africa,Chattogram,27 Mar 2014,T20I #386,,
best_bowling_innings,Best Bowling Figures (innings),8,A Zampa,,,1.0,,19,,,,,,,,,,,4.0,0.0,5.0,,4.75,,,Australia,v Bangladesh,Dubai (DICS),4 Nov 2021,T20I #1391,,
best_bowling_innings,Best Bowling Figures (innings),9,Mujeeb Ur Rahman,,,2.0,,20,,,,,,,,,,,4.0,0.0,5.0,,5.0,,,Afghanistan,v Scotland,Sharjah,25 Oct 2021,T20I #1364,,
best_bowling_innings,Best Bowling Figures (innings),10,R Shepherd,,,2.0,,20,,,,,,,,,,,3.0,0.0,5.0,,6.66,,,West Indies,v Scotland,Eden Gardens,7 Feb 2026,T20I #3685,,
best_bowling_innings,Best Bowling Figures (innings),11,Mustafizur Rahman,,,1.0,,22,,,,,,,,,,,4.0,0.0,5.0,,5.5,,,Bangladesh,v New Zealand,Eden Gardens,26 Mar 2016,T20I #550,,
best_bowling_innings,Best Bowling Figures (innings),12,JP Faulkner,,,2.0,,27,,,,,,,,,,,4.0,0.0,5.0,,6.75,,,Australia,v Pakistan,Mohali,25 Mar 2016,T20I #548,,
best_bowling_innings,Best Bowling Figures (innings),13,SL Malinga,,,2.0,,31,,,,,,,,,,,4.0,0.0,5.0,,7.75,,,Sri Lanka,v England,Pallekele,1 Oct 2012,T20I #284,,
best_bowling_innings,Best Bowling Figures (innings),14,Junaid Siddique,,,1.0,,35,,,,,,,,,,,4.0,0.0,5.0,,8.75,,,U.A.E.,v Canada,Delhi,13 Feb 2026,T20I #3705,,
best_bowling_innings,Best Bowling Figures (innings),15,AU Rashid,,,1.0,,2,,,,,,,,,,,2.2,0.0,4.0,,0.85,,,England,v West Indies,Dubai (DICS),23 Oct 2021,T20I #1354,,
best_bowling_innings,Best Bowling Figures (innings),16,MR Gillespie,,,1.0,,7,,,,,,,,,,,2.5,0.0,4.0,,2.47,,,New Zealand,v Kenya,Durban,12 Sep 2007,T20I #21,,
best_bowling_innings,Best Bowling Figures (innings),17,A Nortje,,,1.0,,7,,,,,,,,,,,4.0,0.0,4.0,,1.75,,,South Africa,v Sri Lanka,New York,3 Jun 2024,T20I #2635,,
best_bowling_innings,Best Bowling Figures (innings),18,Tanzim Hasan Sakib,,,2.0,,7,,,,,,,,,,,4.0,2.0,4.0,,1.75,,,Bangladesh,v Nepal,Kingstown,16 Jun 2024,T20I #2698,,
best_bowling_innings,Best Bowling Figures (innings),19,Mohammad Nabi,,,2.0,,7,,,,,,,,,,,4.0,0.0,4.0,,1.75,,,Afghanistan,v Canada,Chennai,19 Feb 2026,T20I #3726,,
best_bowling_innings,Best Bowling Figures (innings),20,Shakib Al Hasan,,,2.0,,9,,,,,,,,,,,4.0,0.0,4.0,,2.25,,,Bangladesh,v P.N.G.,Al Amerat,21 Oct 2021,T20I #1334,,
best_economy_career,Best Economy Rate (career),1,P Kumar (IND),2010-2010,2.0,,,17,,8.50,,12,,,,,,24.0,4.0,0.0,2.0,2/14,4.25,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),2,J Kariko (PNG),2024-2024,3.0,,,50,,50.00,,66,,,,,,66.0,11.0,0.0,1.0,1/17,4.54,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),3,F Nsubuga (UGA),2024-2024,2.0,,,33,,16.50,,21,,,,,,42.0,7.0,2.0,2.0,2/4,4.71,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),4,Zahoor Khan (UAE),2022-2022,3.0,,,57,,11.40,,14.4,,,,,,72.0,12.0,0.0,5.0,2/20,4.75,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),5,Aayan Afzal Khan (UAE),2022-2022,3.0,,,38,,19.00,,24,,,,,,48.0,8.0,0.0,2.0,1/15,4.75,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),6,CD de Lange (SCOT),2016-2016,1.0,,,19,,19.00,,24,,,,,,24.0,4.0,0.0,1.0,1/19,4.75,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),7,SMSM Senanayake (SL),2014-2014,6.0,,,83,,20.75,,25.5,,,,,,102.0,17.0,0.0,4.0,2/3,4.88,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),8,Raza Hasan (PAK),2012-2012,4.0,,,74,,24.66,,30,,,,,,90.0,15.0,1.0,3.0,2/14,4.93,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),9,OEG Baartman (SA),2024-2024,5.0,,,94,,15.66,,19,,,,,,114.0,19.0,1.0,6.0,4/11,4.94,1.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),10,RS Bopara (ENG),2009-2014,11.0,,,40,,40.00,,48,,,,,,48.0,8.0,0.0,1.0,1/15,5.0,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),11,JDF Vandersay (SL),2016-2016,3.0,,,62,,20.66,,24,,,,,,72.0,12.0,1.0,3.0,2/26,5.16,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),12,SP Narine (WI),2012-2014,12.0,,,231,,15.40,,17.8,,,,,,268.0,44.4,1.0,15.0,3/9,5.17,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),13,NO Miller (WI),2010-2010,3.0,,,63,,31.50,,36,,,,,,72.0,12.0,0.0,2.0,1/18,5.25,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),14,S Dhakal (NEP),2024-2024,1.0,,,21,,-,,-,,,,,,24.0,4.0,0.0,0.0,-,5.25,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),15,Mirwais Ashraf (AFG),2010-2014,2.0,,,32,,32.00,,36,,,,,,36.0,6.0,0.0,1.0,1/14,5.33,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),16,RK Paudel (NEP),2024-2026,7.0,,,32,,10.66,,12,,,,,,36.0,6.0,0.0,3.0,2/20,5.33,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),17,Sabbir Rahman (BAN),2014-2016,11.0,,,32,,10.66,,12,,,,,,36.0,6.0,0.0,3.0,1/3,5.33,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),18,N Vanua (PNG),2021-2024,6.0,,,43,,14.33,,16,,,,,,48.0,8.0,0.0,3.0,2/19,5.37,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),19,Hamid Hassan (AFG),2010-2021,9.0,,,171,,17.10,,18.9,,,,,,189.0,31.3,0.0,10.0,3/9,5.42,0.0,0.0,,,,,,0.0,
best_economy_career,Best Economy Rate (career),20,P Khadka (NEP),2014-2014,3.0,,,44,,44.00,,48,,,,,,48.0,8.0,0.0,1.0,1/7,5.5,0.0,0.0,,,,,,0.0,
best_economy_innings,Best Economy Rate (innings),1,LH Ferguson,,,,,0,,,,,,,,,,,4.0,4.0,3.0,,0.0,,,New Zealand,v P.N.G.,Tarouba,17 Jun 2024,T20I #2702,,
