Ground,Matches_Hosted,Country
"Galle International Stadium, Galle",6,Sri Lanka
"Lord's, London",4,England
"Multan Cricket Stadium, Multan",4,Pakistan
"Rawalpindi Cricket Stadium, Rawalpindi",3,Pakistan
"Adelaide Oval, Adelaide",2,Australia
"Basin Reserve, Wellington",2,New Zealand
"Edgbaston, Birmingham",2,England
"Hagley Oval, Christchurch",2,New Zealand
"Kingsmead, Durban",2,South Africa
"Melbourne Cricket Ground, Melbourne",2,Australia
"Newlands, Cape Town",2,South Africa
"Old Trafford, Manchester",2,England
"Perth Stadium, Perth",2,Australia
"Seddon Park, Hamilton",2,New Zealand
"St George's Park, Gqeberha",2,South Africa
"SuperSport Park, Centurion",2,South Africa
"Sydney Cricket Ground, Sydney",2,Australia
"Sylhet International Cricket Stadium, Sylhet",2,Bangladesh
"The Gabba, Brisbane",2,Australia
"The Oval, London",2,England
"ACA-VDCA Stadium, Visakhapatnam",1,India
"Absa Stadium, East London",1,South Africa
"Bay Oval, Mount Maunganui",1,New Zealand
"Chief Mangope Stadium, Mahikeng",1,South Africa
"Green Park Stadium, Kanpur",1,India
"HPCA Stadium, Dharamsala",1,India
"Headingley, Leeds",1,England
"JSCA International Stadium, Ranchi",1,India
"M. A. Chidambaram Stadium, Chennai",1,India
"M. Chinnaswamy Stadium, Bengaluru",1,India
"Maharashtra CA Stadium, Pune",1,India
"Queen's Park Oval, Port of Spain",1,West Indies
"Rajiv Gandhi Intl Stadium, Hyderabad",1,India
"Sabina Park, Kingston",1,West Indies
"Saurashtra CA Stadium, Rajkot",1,India
"Sher-e-Bangla National Stadium, Mirpur",1,Bangladesh
"Sir Vivian Richards Stadium, North Sound",1,West Indies
"Trent Bridge, Nottingham",1,England
"Wankhede Stadium, Mumbai",1,India
"Windsor Park, Roseau",1,West Indies
"Zahur Ahmed Chowdhury Stadium, Chattogram",1,Bangladesh
