Player,Inns,Ct Fi,MD
"MDKJ Perera (SL)",10,2,"1 (1ct 0st)"
"D Pretorius (SA)",6,2,"1 (1ct 0st)"
"K Rabada (SA)",17,2,"1 (1ct 0st)"
"Shadab Khan (PAK)",2,2,"1 (1ct 0st)"
"Shadman Islam (BDESH)",4,2,"2 (2ct 0st)"
"PM Siddle (AUS)",6,2,"1 (1ct 0st)"
"Soumya Sarkar (BDESH)",2,2,"1 (1ct 0st)"
"Tamim Iqbal (BDESH)",8,2,"1 (1ct 0st)"
"SN Thakur (INDIA)",2,2,"1 (1ct 0st)"
"K Verreynne (SA)",4,2,"2 (2ct 0st)"
"GH Vihari (INDIA)",16,2,"1 (1ct 0st)"
"N Wagner (NZ)",16,2,"1 (1ct 0st)"
"MA Wood (ENG)",10,2,"1 (1ct 0st)"
"Al-Amin Hossain (BDESH)",1,0,"0"
"M Bhanuka (SL)",2,0,"0"
"PVD Chameera (SL)",6,0,"0"
"DP Conway (NZ)",2,0,"0"
"ML Cummins (WI)",2,0,"0"
"A Dananjaya (SL)",2,0,"0"
"LH Ferguson (NZ)",2,0,"0"
"AM Fernando (SL)",6,0,"0"
"ST Gabriel (WI)",22,0,"0"
"MS Harris (AUS)",8,0,"0"
"Hasan Ali (PAK)",4,0,"0"
"BE Hendricks (SA)",2,0,"0"
"CK Holder (WI)",1,0,"0"
"Iftikhar Ahmed (PAK)",2,0,"0"
"Imam-ul-Haq (PAK)",1,0,"0"
"Imran Khan (PAK)",1,0,"0"
"Imrul Kayes (BDESH)",2,0,"0"
"P Jayawickrama (SL)",2,0,"0"
"Kuldeep Yadav (INDIA)",2,0,"0"
"GF Linde (SA)",5,0,"0"
"RTM Mendis (SL)",4,0,"0"
"Mominul Haque (BDESH)",10,0,"0"
"Muhammad Musa (PAK)",1,0,"0"
"Mustafizur Rahman (BDESH)",2,0,"0"
"T Natarajan (INDIA)",2,0,"0"
"Nauman Ali (PAK)",4,0,"0"
"Nayeem Hasan (BDESH)",5,0,"0"
"C Overton (ENG)",2,0,"0"
"MDK Perera (SL)",8,0,"0"
"VD Philander (SA)",10,0,"0"
"WJ Pucovski (AUS)",2,0,"0"
"CAK Rajitha (SL)",2,0,"0"
"Rubel Hossain (BDESH)",1,0,"0"
"Saif Hassan (BDESH)",4,0,"0"
"Shakib Al Hasan (BDESH)",2,0,"0"
"PP Shaw (INDIA)",6,0,"0"
"WER Somerville (NZ)",6,0,"0"
"Taskin Ahmed (BDESH)",3,0,"0"
"Usman Shinwari (PAK)",1,0,"0"
"JA Warrican (WI)",4,0,"0"
"Zafar Gohar (PAK)",1,0,"0"
