Winner,Result,Margin,Ground,Start Date,Host,Country
"No Result","draw","Draw","Southampton",2011-06-16 00:00:00.000,"England","Sri Lanka"
"England","won","266 runs","Southampton",2014-07-27 00:00:00.000,"England","India"
"England","won","60 runs","Southampton",2018-08-30 00:00:00.000,"England","India"
"West Indies","won","4 wickets","Southampton",2020-07-08 00:00:00.000,"England","West Indies"
"No Result","draw","Draw","Southampton",2020-08-13 00:00:00.000,"England","Pakistan"
"No Result","draw","Draw","Southampton",2020-08-21 00:00:00.000,"England","Pakistan"
"New Zealand","won","8 wickets","Southampton",2021-06-18 00:00:00.000,"India","New Zealand"
