Player,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,5,10
"RRS Cornwall (WI)",13,357.5,68,1012,22,"5/74","9/179",1,0
"RAS Lakmal (SL)",12,207.2,67,511,20,"5/47","6/156",1,0
"Naseem Shah (PAK)",13,224.4,33,849,20,"5/31","5/87",1,0
"MVT Fernando (SL)",13,231.3,32,816,19,"5/101","5/124",1,0
"RL Chase (WI)",12,227,36,800,18,"5/172","6/190",1,0
"L Ngidi (SA)",11,137.5,31,453,17,"5/19","5/50",1,0
"MA Wood (ENG)",9,147.3,27,427,17,"5/46","9/100",1,0
"Mohammed Siraj (INDIA)",10,160.2,39,452,16,"5/73","6/150",1,0
"JE Root (ENG)",22,160.1,32,514,16,"5/8","5/33",1,0
"Hasan Ali (PAK)",4,61.4,10,236,12,"5/54","10/114",2,1
"P Jayawickrama (SL)",2,64,17,178,11,"6/92","11/178",2,1
"GF Linde (SA)",5,78.5,17,252,9,"5/64","5/68",1,0
"AY Patel (NZ)",6,92,15,267,9,"5/89","6/163",1,0
"Nauman Ali (PAK)",4,79.3,26,172,8,"5/35","7/73",1,0
"MR Marsh (AUS)",2,29.2,5,86,7,"5/46","7/86",1,0
"A Dananjaya (SL)",2,62,7,164,6,"5/80","6/164",1,0
"BE Hendricks (SA)",2,38.3,5,175,6,"5/64","6/175",1,0
"TA Boult (NZ)",20,370.3,80,1082,39,"4/28","6/117",0,0
"KAJ Roach (WI)",20,386.2,92,1056,39,"4/52","7/97",0,0
"N Wagner (NZ)",16,312.3,69,804,35,"4/66","7/133",0,0
"BA Stokes (ENG)",24,271.3,54,893,34,"4/49","6/88",0,0
"Yasir Shah (PAK)",16,384.4,43,1415,32,"4/58","8/165",0,0
"RA Jadeja (INDIA)",21,291.3,69,848,29,"4/62","6/211",0,0
"SM Curran (ENG)",17,208.1,48,652,20,"4/58","5/109",0,0
"Mohammad Abbas (PAK)",13,283.4,92,671,18,"4/55","5/88",0,0
"Abu Jayed (BDESH)",7,154,29,546,15,"4/98","6/130",0,0
"Mehidy Hasan Miraz (BDESH)",8,235,38,731,15,"4/58","8/171",0,0
"AS Joseph (WI)",12,193,34,678,13,"3/109","3/97",0,0
"PWA Mulder (SA)",10,92,23,283,13,"3/1","5/108",0,0
"CBRLS Kumara (SL)",8,155.1,19,608,12,"4/49","6/188",0,0
"MM Ali (ENG)",4,103,14,398,11,"4/98","8/226",0,0
"C de Grandhomme (NZ)",13,185,42,436,11,"3/78","3/121",0,0
"JL Pattinson (AUS)",8,114,26,302,11,"3/34","6/69",0,0
"KR Mayers (WI)",10,76,27,167,10,"3/24","6/52",0,0
"VD Philander (SA)",10,161.5,49,368,10,"4/16","4/51",0,0
"L Sipamla (SA)",4,39.5,5,167,10,"4/76","6/100",0,0
"JA Warrican (WI)",4,95.2,14,285,10,"4/133","7/190",0,0
"PVD Chameera (SL)",5,93.1,9,311,8,"3/69","5/143",0,0
"RTM Mendis (SL)",4,85,10,285,8,"4/103","6/189",0,0
"S Nadeem (INDIA)",4,76.2,11,273,8,"2/18","4/40",0,0
"MDK Perera (SL)",8,182.1,14,584,8,"4/109","4/143",0,0
"WER Somerville (NZ)",6,119.2,20,360,8,"3/83","4/156",0,0
"Taskin Ahmed (BDESH)",3,68.2,13,265,8,"4/127","5/153",0,0
"D Pretorius (SA)",6,80,22,252,7,"2/26","3/82",0,0
"PM Siddle (AUS)",6,97,21,295,7,"2/52","3/102",0,0
"SN Thakur (INDIA)",2,43,8,155,7,"4/61","7/155",0,0
"DM de Silva (SL)",13,149,20,472,6,"3/25","3/45",0,0
"Ebadat Hossain (BDESH)",4,98,15,402,6,"3/91","3/91",0,0
"Haris Sohail (PAK)",7,41,3,138,6,"2/11","2/11",0,0
"Nayeem Hasan (BDESH)",4,90.2,13,267,6,"3/34","3/108",0,0
"Washington Sundar (INDIA)",7,87.4,10,299,6,"3/89","4/169",0,0
"KC Brathwaite (WI)",13,56.5,2,177,5,"3/25","3/32",0,0
"JNT Seales (WI)",3,51,13,153,5,"3/75","3/75",0,0
"PWH de Silva (SL)",7,112.2,8,403,4,"4/171","4/171",0,0
"Faheem Ashraf (PAK)",7,83,23,241,4,"2/106","2/106",0,0
"AM Fernando (SL)",4,47,9,156,4,"2/44","2/44",0,0
"D Paterson (SA)",3,57.5,11,166,4,"2/86","3/104",0,0
"NA Saini (INDIA)",4,41.5,5,172,4,"2/54","4/119",0,0
"MD Shanaka (SL)",4,53.5,7,170,4,"2/42","2/50",0,0
"OP Stone (ENG)",2,22.4,6,68,4,"3/47","4/68",0,0
"Al-Amin Hossain (BDESH)",1,22.4,3,85,3,"3/85","3/85",0,0
"TD Astle (NZ)",2,40,1,152,3,"2/111","3/152",0,0
"MJ Henry (NZ)",4,76,12,241,3,"1/54","2/148",0,0
"M Labuschagne (AUS)",19,77,9,256,3,"1/9","1/9",0,0
"T Natarajan (INDIA)",2,38.2,7,119,3,"3/78","3/119",0,0
"Rubel Hossain (BDESH)",1,25.5,3,113,3,"3/113","3/113",0,0
"MJ Santner (NZ)",8,118.3,13,378,3,"2/52","2/59",0,0
"JL Denly (ENG)",8,49,10,162,2,"2/42","2/42",0,0
"Fawad Alam (PAK)",2,13,0,51,2,"2/46","2/46",0,0
"CK Holder (WI)",1,26,1,110,2,"2/110","2/110",0,0
"Kuldeep Yadav (INDIA)",2,12.2,2,41,2,"2/25","2/41",0,0
"Mustafizur Rahman (BDESH)",2,28,5,117,2,"2/46","2/117",0,0
"S Muthusamy (SA)",3,37.3,2,180,2,"1/63","1/83",0,0
"C Overton (ENG)",2,33.5,4,107,2,"2/85","2/107",0,0
"DL Piedt (SA)",3,54,7,310,2,"1/101","1/101",0,0
"Shadab Khan (PAK)",2,11.3,0,47,2,"2/13","2/47",0,0
"Asad Shafiq (PAK)",3,12,0,44,1,"1/24","1/24",0,0
"J Blackwood (WI)",3,11,1,36,1,"1/16","1/33",0,0
"NE Bonner (WI)",3,8,0,46,1,"1/16","1/29",0,0
"D Elgar (SA)",4,7.1,0,42,1,"1/4","1/4",0,0
"Imran Khan (PAK)",1,24,3,73,1,"1/73","1/73",0,0
"DJ Mitchell (NZ)",4,14,2,41,1,"1/7","1/7",0,0
"CAK Rajitha (SL)",2,8.1,2,21,1,"1/5","1/5",0,0
"JA Raval (NZ)",1,13,1,33,1,"1/33","1/33",0,0
"Saif Hassan (BDESH)",2,6,0,27,1,"1/22","1/22",0,0
"Shoriful Islam (BDESH)",2,30,6,99,1,"1/91","1/99",0,0
"Soumya Sarkar (BDESH)",1,11,1,48,1,"1/48","1/48",0,0
"Usman Shinwari (PAK)",1,15,4,54,1,"1/54","1/54",0,0
"KS Williamson (NZ)",3,8,1,26,1,"1/16","1/16",0,0
"Azhar Ali (PAK)",2,1.1,0,9,0,"-","-",0,0
"TA Blundell (NZ)",1,3,0,13,0,"-","-",0,0
"JD Campbell (WI)",1,6,0,20,0,"-","-",0,0
"ML Cummins (WI)",2,20,2,69,0,"-","-",0,0
"LH Ferguson (NZ)",1,11,1,47,0,"-","-",0,0
"BOP Fernando (SL)",1,1,0,3,0,"-","-",0,0
"C Green (AUS)",6,44,7,118,0,"-","-",0,0
"TM Head (AUS)",4,10,3,31,0,"-","-",0,0
"Iftikhar Ahmed (PAK)",2,27,0,128,0,"-","-",0,0
"FDM Karunaratne (SL)",3,8.5,0,53,0,"-","-",0,0
"V Kohli (INDIA)",2,2,0,8,0,"-","-",0,0
"DW Lawrence (ENG)",2,3,0,17,0,"-","-",0,0
"Mahmudullah (BDESH)",2,5,0,30,0,"-","-",0,0
"PJ Malan (SA)",1,2,0,5,0,"-","-",0,0
"AK Markram (SA)",3,8,2,33,0,"-","-",0,0
"AD Mathews (SL)",2,9,1,21,0,"-","-",0,0
"BKG Mendis (SL)",2,8,0,55,0,"-","-",0,0
"Mominul Haque (BDESH)",1,4,0,18,0,"-","-",0,0
"Muhammad Musa (PAK)",1,20,1,114,0,"-","-",0,0
"Shan Masood (PAK)",6,12,3,48,0,"-","-",0,0
"Shakib Al Hasan (BDESH)",1,6,1,16,0,"-","-",0,0
"RG Sharma (INDIA)",6,8.1,2,22,0,"-","-",0,0
"DP Sibley (ENG)",1,1,0,7,0,"-","-",0,0
"SPD Smith (AUS)",5,7,1,27,0,"-","-",0,0
"GH Vihari (INDIA)",3,12,1,48,0,"-","-",0,0
"MS Wade (AUS)",3,4,0,28,0,"-","-",0,0
"Zafar Gohar (PAK)",1,32,0,159,0,"-","-",0,0
