Country,Series Played,Series Won,Matches,Won,Lost,Tied,Draw,Points,Runs/wkt rate,Average,Run Rate,Highest Score,Lowest Score,Current ICC Ranking,ICC Ratings,Team,Country (clusters)
"India",6,5,17,12,4,0,1,520,1.577,34.32,3.22,601,36,2,119,"India",""
"New Zealand",5,3,11,7,4,0,0,420,1.281,34.67,3.26,659,136,1,126,"New Zealand",""
"Australia",4,2,14,8,4,0,2,332,1.392,36.78,3.36,589,179,3,108,"Australia",""
"England",6,4,21,11,7,0,3,442,1.12,30.3,3.15,583,67,4,107,"England",""
"South Africa",5,2,13,5,8,0,0,264,0.787,26.23,3.03,621,133,6,88,"South Africa",""
"Pakistan",6,3,12,4,5,0,3,286,0.822,31.76,3.03,555,169,5,94,"Pakistan",""
"Sri Lanka",6,1,12,2,6,0,4,200,0.729,31.27,3.08,648,122,8,78,"Sri Lanka",""
"West Indies",6,1,13,3,8,0,2,194,0.661,23.97,2.95,409,97,7,78,"West Indies",""
"Bangladesh",4,0,7,0,6,0,1,20,0.601,26.55,3.09,541,106,9,46,"Bangladesh",""
